datetime, WindSpeed, WindDir
2020-03-27 04.00.00,3.7360985677843135,-153.57333663549318
2020-03-27 04.01.00,4.2053877549624366,-156.0066707152518
2020-03-27 04.02.00,4.325437494240785,-155.9033358199983
2020-03-27 04.03.00,4.432313215311052,-157.68333835409976
2020-03-27 04.04.00,4.105588685372294,-158.5716680807957
2020-03-27 04.05.00,3.845861680514394,-159.95666720765698
2020-03-27 04.06.00,3.8200117908784,-157.583327190962
2020-03-27 04.07.00,3.9637686815398303,-158.41166839466192
2020-03-27 04.08.00,3.6700605633113197,-158.08333721151894
2020-03-27 04.09.00,3.7683146373481073,-152.2733289650545
2020-03-27 04.10.00,4.261411329774444,-155.46499876850802
2020-03-27 04.11.00,4.317766745099253,-155.06666077575983
2020-03-27 04.12.00,4.44472537309067,-153.8816648658842
2020-03-27 04.13.00,4.453375678185032,-155.4149946492411
2020-03-27 04.14.00,4.794430810113125,-156.35000003656972
2020-03-27 04.15.00,4.613995308991221,-157.83833469888148
2020-03-27 04.16.00,4.531261028890964,-156.1833332909251
2020-03-27 04.17.00,4.217024577090463,-157.62667209197153
2020-03-27 04.18.00,4.00317823285474,-158.27167145592313
2020-03-27 04.19.00,3.8811184698580123,-156.0766569503912
2020-03-27 04.20.00,3.9525144841738404,-152.47165967911994
2020-03-27 04.21.00,4.445340159633456,-152.2083379340274
2020-03-27 04.22.00,4.854166909211507,-154.60500084417274
2020-03-27 04.23.00,4.987005312044093,-155.73332918381757
2020-03-27 04.24.00,5.0953809214994905,-157.15332985157923
2020-03-27 04.25.00,5.068792483787534,-158.62499187139062
2020-03-27 04.26.00,4.966060667873481,-157.48999846539976
2020-03-27 04.27.00,5.104073385387498,-158.21666749874169
2020-03-27 04.28.00,4.630828816438155,-159.82167029812993
2020-03-27 04.29.00,4.531908119952345,-161.6650009392284
2020-03-27 04.30.00,4.627766312139151,-160.36832998774938
2020-03-27 04.31.00,4.773386667760847,-158.43665684754208
2020-03-27 04.32.00,4.850745410174502,-155.61665804321106
2020-03-27 04.33.00,4.632603810356008,-154.49833300857412
2020-03-27 04.34.00,4.325279685372149,-155.18833380420742
2020-03-27 04.35.00,4.3415919348372665,-152.6016599686929
2020-03-27 04.36.00,4.683558342139446,-151.25333428562925
2020-03-27 04.37.00,4.323203547267466,-146.9983313700966
2020-03-27 04.38.00,4.1112647601508225,-143.553326256264
2020-03-27 04.39.00,3.8990459808867346,-144.64833429476312
2020-03-27 04.40.00,3.89917961058695,-147.6899997274442
2020-03-27 04.41.00,3.766345992805892,-147.04665991766348
2020-03-27 04.42.00,3.8733145505465987,-149.05166264186337
2020-03-27 04.43.00,4.086084600091389,-152.38333413070237
2020-03-27 04.44.00,3.8177032060756106,-152.86666945434243
2020-03-27 04.45.00,3.7018872024102785,-154.67333523022012
2020-03-27 04.46.00,3.967961182000147,-153.34499460952742
2020-03-27 04.47.00,3.799200935388914,-152.93334553446314
2020-03-27 04.48.00,4.40083235329409,-155.06666696653568
2020-03-27 04.49.00,4.366377021476959,-152.986666459344
2020-03-27 04.50.00,4.253422825366413,-152.32999464487193
2020-03-27 04.51.00,3.9078067800844503,-151.48333569796054
2020-03-27 04.52.00,4.12430973024299,-150.75333314746914
2020-03-27 04.53.00,3.9664409883376557,-152.14500465236117
2020-03-27 04.54.00,3.7863038858328584,-151.7366702880761
2020-03-27 04.55.00,3.877318099968714,-151.52833420571764
2020-03-27 04.56.00,3.643769741438803,-151.05333956070027
2020-03-27 04.57.00,3.6152204257358913,-145.07499979812434
2020-03-27 04.58.00,3.6659721787820483,-143.54166963363676
2020-03-27 04.59.00,3.9804872014371555,-142.55832794206248
2020-03-27 05.00.00,4.350899153457019,-145.99833102036925
2020-03-27 05.01.00,4.1403816797546575,-146.40000385810941
2020-03-27 05.02.00,3.9735636993450854,-147.85333407640854
2020-03-27 05.03.00,3.5641116526737764,-148.6949976200567
2020-03-27 05.04.00,3.5882507780727924,-153.04833587955213
2020-03-27 05.05.00,3.624394871481307,-153.16000641432018
2020-03-27 05.06.00,3.4774486765076777,-153.28500043171599
2020-03-27 05.07.00,3.3900186982481384,-152.19666453932686
2020-03-27 05.08.00,3.171851852770082,-153.68833638288828
2020-03-27 05.09.00,3.2915348624959146,-154.02832891579467
2020-03-27 05.10.00,3.222993706412875,-152.62166353161686
2020-03-27 05.11.00,3.1481330148734186,-149.40499180005273
2020-03-27 05.12.00,3.0771905699273807,-145.825000058508
2020-03-27 05.13.00,3.2675530136859297,-143.61166882662957
2020-03-27 05.14.00,3.2378633520928584,-143.61666864101062
2020-03-27 05.15.00,3.0038497371714517,-140.40499747594282
2020-03-27 05.16.00,2.848796466689749,-137.20334369369613
2020-03-27 05.17.00,2.793775959026421,-142.74667098229483
2020-03-27 05.18.00,2.9100490842795077,-144.81667992929857
2020-03-27 05.19.00,2.8948335918459978,-146.6416716386332
2020-03-27 05.20.00,2.657775758189731,-147.47167090557647
2020-03-27 05.21.00,2.75450944633432,-146.79167378014276
2020-03-27 05.22.00,2.6600409037114447,-148.4816719596355
2020-03-27 05.23.00,2.5353196498003956,-148.8183354360202
2020-03-27 05.24.00,2.4775475893814836,-146.61166766751313
2020-03-27 05.25.00,2.233908205165333,-148.323342820756
2020-03-27 05.26.00,2.178395058262849,-145.57332548099697
2020-03-27 05.27.00,2.037560565083895,-145.6749928829548
2020-03-27 05.28.00,1.847036001414699,-145.74999861995406
2020-03-27 05.29.00,1.859891070374284,-138.17333182754746
2020-03-27 05.30.00,1.8930859512692497,-138.88332366872913
2020-03-27 05.31.00,2.0653041137936565,-145.82666556333308
2020-03-27 05.32.00,2.103408116934277,-138.0433381417884
2020-03-27 05.33.00,2.099100540395338,-135.03165324682337
2020-03-27 05.34.00,2.0953307280112132,-136.14833394340758
2020-03-27 05.35.00,1.948173081658044,-133.29499514218608
2020-03-27 05.36.00,1.767843823765267,-137.70499585215433
2020-03-27 05.37.00,1.6598917145579106,-143.76998557846431
2020-03-27 05.38.00,1.8735732630244273,-144.63667248691578
2020-03-27 05.39.00,2.0498584702337377,-139.46667353354192
2020-03-27 05.40.00,2.1984938619341197,-146.58499985562253
2020-03-27 05.41.00,2.091874539611303,-149.33499258009493
2020-03-27 05.42.00,1.9265626558043731,-151.7716723004853
2020-03-27 05.43.00,1.9819900233969392,-152.43167361316642
2020-03-27 05.44.00,1.9247908742086761,-151.4283305573786
2020-03-27 05.45.00,1.8596161380419347,-148.17666876554853
2020-03-27 05.46.00,1.9083115954502818,-147.8050019439441
2020-03-27 05.47.00,1.7116415583328186,-147.55000889912938
2020-03-27 05.48.00,1.8745892800018888,-151.96999584761852
2020-03-27 05.49.00,1.8235508000744043,-149.6216460389239
2020-03-27 05.50.00,1.8192766688736488,-143.73999594657738
2020-03-27 05.51.00,1.671946883092283,-139.20332914551807
2020-03-27 05.52.00,1.7564475372415767,-140.95000131155297
2020-03-27 05.53.00,1.648310325060181,-135.1899979632377
2020-03-27 05.54.00,1.6295413242118164,-137.11333177411808
2020-03-27 05.55.00,1.5221502939792113,-137.16499133065176
2020-03-27 05.56.00,1.6158070427216857,-134.80500158774618
2020-03-27 05.57.00,1.749335110145566,-136.82831250930707
2020-03-27 05.58.00,1.789696566041294,-137.82834439815042
2020-03-27 05.59.00,1.82193171360537,-139.98333615413478
2020-03-27 06.00.00,1.93247311820941,-142.95998241632523
